Email_ID,Sender,Subject,Body,Received_Date,Label,Prediction,Confidence_Score,Flagged_Keywords
1,hr@company.com,Interview Confirmation,"Hello John, your interview is scheduled for 10 AM tomorrow.",14-07-2025,legit,legit,0.97,"click, verify, account"
2,alerts@paypal-secure.com,Verify Your Account,"Dear user, your PayPal account is suspended. Click here to verify.",10-07-2025,phishing,phishing,0.92,"won, claim, iPhone"
3,winbig@promo.co,You Won an iPhone!,Congrats! You've won an iPhone. Claim now before it’s too late.,06-07-2025,spam,spam,0.88,"suspicious, confirm, login"
4,updates@amazon.com,Your Order Has Shipped,Your order #123456 has been shipped. Tracking number: TRX987654.,02-07-2025,legit,legit,0.96,"payment, update, billing"
5,security@bank-alert.com,Unusual Activity Detected,We detected suspicious login attempts. Confirm your identity now.,28-06-2025,phishing,phishing,0.91,"locked, restore, suspicious"
6,contact@netflix.com,Payment Failed,We couldn’t process your last payment. Please update your billing info.,22-06-2025,phishing,phishing,0.89,"survey, win, gift"
7,friend@gmail.com,Lunch Tomorrow?,"Hey, are we still on for lunch tomorrow at 1 PM?",17-06-2025,legit,legit,0.94,"verify, suspended, log in"
8,support@apple-help.com,Your iCloud Is Locked,Your iCloud account has been locked due to suspicious activity. Log in to restore access.,13-06-2025,phishing,phishing,0.93,"winner, claim, lottery"
9,survey@rewards.com,Complete Survey – Win $1000!,Fill out this quick survey and win a $1000 gift card!,09-06-2025,spam,spam,0.9,"expire, update, password"
10,noreply@github.com,Security Alert on Your Repo,Someone accessed your repository. Was this you?,05-06-2025,legit,legit,0.91,"book, save, limited"
11,billing@amazon-pay.in,Account Suspension Notice,Your Amazon Pay account has been suspended. Log in to verify now.,01-06-2025,phishing,phishing,0.92,"verify, suspended, log in"
12,rewards@lotto.co.uk,You Are a Lucky Winner,Your ticket number has won! Claim your lottery prize now.,01-06-2025,spam,spam,0.87,"zoom, suspended, review"
13,it@college.edu,Password Expiry Notification,Your college account password will expire in 3 days. Click here to update.,20-05-2025,phishing,phishing,0.89,"cashback, shop, essentials"
14,team@slack.com,Invitation to Join Workspace,"You’ve been invited to join the ""Capstone Team"" Slack workspace.",20-05-2025,legit,legit,0.95,"seminar, robotics"
15,info@airline-deals.net,Limited Time Flight Offer,Book now and save up to 70% on your next international flight.,14-05-2025,spam,spam,0.86,"KYC, ICICI, urgent"
16,help@chase-verification.com,Action Required,We noticed a login attempt on your Chase account. Take action immediately.,14-05-2025,phishing,phishing,0.93,"shortlisted, interview"
17,admin@library.org,Book Due Reminder,Please return the book “AI in Action” by July 15 to avoid late fees.,02-03-2025,legit,legit,0.96,"private, click, files"
18,newsletter@dealszone.com,Get Deals Straight to Inbox!,Join our newsletter and get daily deals directly to your inbox.,02-03-2025,spam,spam,0.84,"AI, research"
19,it-support@university.edu,System Maintenance Alert,Servers will be down for maintenance from 2–4 AM. No action needed.,01-03-2025,legit,legit,0.94,"fat, burn, formula"
20,donotreply@scam-alert.com,Important Security Update,Install the attached software to secure your system now.,01-03-2025,phishing,phishing,0.91,"student, scheme, apply"
21,deals@crypto-boost.com,Double Your Bitcoin Today,Invest $500 now and get back double in 24 hours. Limited-time crypto opportunity.,20-08-2024,phishing,phishing,0.94,"amazon, gift, free"
22,prof.jane@uni.edu,Assignment Reminder,Please upload your research draft before midnight.,20-08-2024,legit,legit,0.95,"connection, view, linkedin"
23,prize@winwithus.org,Claim Your $500 Walmart Gift Card,You have been selected! Click the link to claim your gift.,13-07-2024,spam,spam,0.9,"writers, join"
24,noreply@bankofamerica.com,Important Account Notice,Your account may be accessed by someone else. Verify identity to continue.,09-07-2024,phishing,phishing,0.91,"paypal, transaction, fix"
25,boss@startup.io,Meeting Slides,Please find attached the slides for tomorrow’s investor meeting.,05-07-2024,legit,legit,0.93,"google, changes"
26,alert@facebook-notice.com,Suspicious Login Detected,We detected a login from an unknown device. Click below if this wasn’t you.,01-07-2024,phishing,phishing,0.9,"winner, claim, prize"
27,events@eventbrite.com,Upcoming Tech Expo 2025,You're invited to the biggest AI expo of the year. RSVP now.,27-06-2024,legit,legit,0.94,"NEET, admit card"
28,sales@flashdeals.live,"Buy One, Get One Free",Today only! Buy any product and get another absolutely free. Limited stock.,23-06-2024,spam,spam,0.87,"invoice, download"
29,support@google.com,Your Google Password Changed,"Your password was changed successfully. If not you, reset immediately.",19-06-2024,legit,legit,0.96,"confirm, user, identity"
30,login@secure-check.info,Confirm Your Login Credentials,Confirm your login info to continue using your account.,15-06-2024,phishing,phishing,0.92,"verify, signature, submission"
31,welcome@zoom.us,Meeting Scheduled: 3PM Today,Your Zoom meeting with Dr. Ravi is scheduled at 3 PM. Join using the link below.,10-06-2024,legit,legit,0.95,"login, unusual, attempt"
32,unknown@lottery.vip,Urgent: You Are a Winner!,"Hurry! Your $10,000 prize is pending. Confirm your details now.",06-06-2024,spam,spam,0.88,"invoice, pending, review"
33,hr@recruitment-portal.com,Resume Shortlisted,You’ve been shortlisted. Please download the attached form and fill within 24 hours.,21-04-2024,phishing,phishing,0.91,"payment, refund, confirm"
34,itsecurity@company.org,Scheduled System Update,Please expect downtime this Sunday due to scheduled system maintenance.,21-04-2024,legit,legit,0.94,"verify, ID, update"
35,promo@freeoffers.biz,Your Free Amazon Voucher Inside,Don’t miss your free $50 Amazon voucher. Claim before it expires!,12-02-2024,spam,spam,0.89,"lottery, winner, reward"
36,bankalert@icici-notice.com,Immediate Action Needed,Suspicious activity detected on your account. Login to avoid restrictions.,12-02-2024,phishing,phishing,0.93,"access, unauthorized, device"
37,lab@university.edu,Lab Report Submission Reminder,This is a reminder to submit your lab report by 11:59 PM tonight.,11-02-2024,legit,legit,0.92,"submit, details, security"
38,travel@flightdeals.ai,Lowest Airfare Alert!,Book flights now starting at just ₹499! Limited-time international deals.,11-02-2024,spam,spam,0.86,"discount, code, today"
39,info@hackathon.io,Confirm Your Hackathon Registration,You’ve successfully registered for HackAI 2025. See attached details.,10-02-2024,legit,legit,0.95,"click, verify, change"
40,rewards@premiumclaim.com,Urgent: Unclaimed Funds,We have unclaimed funds under your name. Claim before end of the day.,10-02-2024,phishing,phishing,0.91,"free, holiday, win"
41,update@mybank-notice.com,Action Required: Account Update,Your account information needs to be updated. Click to continue.,04-12-2023,phishing,phishing,0.92,"billing, alert, update"
